OBJECTID,SPECIES_CD_1,PROJ_AGE_1,PROJ_HEIGHT_1,LIVE_VOL_PER_HA_SPP1_125
1,,0,0,0
2,,0,0,0
3,,0,0,0
4,,0,0,0
5,,0,0,0
6,,0,0,0
7,,0,0,0
8,,0,0,0
9,,0,0,0
10,,0,0,0
11,,0,0,0
12,,0,0,0
13,,0,0,0
14,,0,0,0
15,,0,0,0
16,,0,0,0
17,,0,0,0
18,PLC,167,3,0
19,CW,127,7.1999998,0
20,SS,297,42.2999992,552.183
21,HW,117,15.6000004,76.107
22,CW,357,22.1000004,93.591
23,SS,337,43.2000008,709.314
24,HW,277,32.2999992,387.499
25,YC,307,17.1000004,79.492
26,CW,307,30.2000008,261.273
27,HW,257,31.2999992,391.72
28,CW,282,19.2000008,61.594
29,HW,357,41.2000008,478.723
30,CW,227,21.2000008,145.114
31,HW,307,32.2000008,334.076
32,CW,357,29.2000008,200.703
33,HW,332,35.2000008,250.755
34,SS,257,36.4000015,384.255
35,CW,307,19.1000004,83
36,CW,277,27.2000008,219.42
37,CW,257,17.2000008,63.184
38,CW,307,18.1000004,64.518
39,HW,20,10.5,16.05
40,HW,427,48.2000008,459.765
41,HW,307,31.2000008,321.867
42,CW,282,13.1000004,34.049
43,HW,28,8,8.232
44,CW,267,17.1000004,90.373
45,CW,267,18.2000008,53.21
46,CW,357,20.1000004,128.205
47,CW,227,16.2000008,68.884
48,HW,347,34.2000008,415.068
49,HW,247,24.2999992,203.041
50,SS,297,39.2999992,503.563
51,CW,307,33.2000008,188.472
52,HW,307,26.2000008,239.052
53,CW,307,18.1000004,65.919
54,HW,277,28.2000008,262.841
55,HW,32,11.5,42.314
56,SS,157,22.7000008,130.951
57,CW,167,22.3999996,96.243
58,CW,267,21.2000008,131.886
59,HW,27,10.3999996,14.382
60,CW,287,30.2000008,198.773
61,HW,357,37.2000008,295.943
62,CW,332,25.2000008,128.17
63,HW,35,13.3999996,34.096
64,CW,157,2,0
65,HW,267,20.2000008,61.694
66,CW,207,14.1000004,49.782
67,CW,257,15.1000004,58.003
68,CW,267,20.2000008,69.305
69,HW,12,2.7,0
